ID;Modell;Quelle;Herkunft;Reales_Vorbild;Zielgruppe;Erloesmodell;Preisanker;Hauptproblem_des_Kunden;Bruttomarge_S;Delegierbarkeit;Regulatorik;KO_Status;Begruendung_Status
L01;Betreiberpflichten-Manager fuer Mittelstandsstandorte;A01-F2/A10-M1;DE;keiner vollstaendig (TUEV SUED netinform.RE nur Software);Betriebsstaetten 50-500 MA;Monatspauschale je Standort + Setup;5.000-30.000 EUR/Standort/Jahr [S];15-18 Vertraege 15-18 Fristensysteme null Gesamtnachweis bei GF-Haftung;70-85%;hoch;gelb;SHORTLIST S01;hoechste Konvergenz 3 Agenten
L02;Terminierungs-Abo fuer Pruef- und Wartungsdienstleister;A10-M12;DE;Bausteine bei Certado/Vemas/HalloPetra aber nicht integriert;Pruefdienstleister 200-2.000 Bestandskunden;Plattformgebuehr + Preis je bestaetigtem Termin;offen;400 Kunden Jahresfaelligkeit vs eine Buerokraft am Telefon;70-85%;sehr hoch;gelb;SHORTLIST S02;hoechste Asset-Passung CallSuite
L03;Sensor-Monitoring als Motor fuer Wartungs-Mitgliedschaften;A02-M22;US;SmartAC.com;SHK-/Kaeltebetriebe;Geraete-Abo + Plattformgebuehr je Betrieb;ca. 500 EUR/Betrieb/Monat [S];Wartungsvertraege sind unsichtbar und werden gekuendigt;65-80%;hoch;gruen;SHORTLIST S03;Retention 70->97% belegt
L04;Aufschalt- und Leitstellen-Modell Gebaeudetechnik;A01-M10+16;DE;Notrufe24 / Lift eye-P / KONE Aufzugswaerter;Hausverwaltungen Wohnungsunternehmen Kliniken Kommunen;Monatliche Aufschaltgebuehr je Objekt;20-60 EUR/Objekt/Monat [F];BetrSichV verlangt Ueberwachung und Dokumentation;75-90%;hoch;gelb;SHORTLIST S04;Plattformoekonomie Grenzkosten 2-5 EUR
L05;Herstellerunabhaengiges Anlagen-IoT fuer freie Servicebetriebe;A02-M27;UK/FR;uptime.ac (>200 Unternehmen Europa);freie Wartungsfirmen mit Mischbestand;Sensorik-Abo + Plattform;Otodata 1,50 USD EK vs 26-54 USD VK;Hersteller vernetzt nur eigene Geraete Servicebetrieb bleibt blind;65-80%;hoch;gruen;SHORTLIST S05;3 unabhaengige Faelle gleiches Muster
L06;Pruef-SaaS das aus dem Mangel ein Angebot macht;A02-M8;US;Inspect Point;Brandschutz-/Sicherheitsdienstleister;SaaS je Techniker + Modul;offen;Mangelbericht bleibt liegen statt Auftrag zu werden;70-85%;hoch;gelb;SHORTLIST S06;DIN/VDE-Lizenz als Graben und Huerde
L07;Halterhaftungs-Compliance fuer KMU-Fuhrparks;A01-M26;DE;LapID;KMU mit 10-200 Fahrzeugen;SaaS je Fahrzeug/Fahrer;offen;persoenliche GF-Haftung nach Paragraf 21 StVG;80-90%;hoch;gruen;SHORTLIST S07;Engpass Fahrer-Mitwirkung durch Telefonie loesbar
L08;Monitoring-as-a-Service mit B2B2B-Zahler (HACCP/Kuehlkette/Silo);A01-M11+14/A02-M25;DE;LineMetrics COMOTIX Sencono;Filialisten 10-500 Standorte Lieferanten Zentralen;Hardware-Miete + Cloud-Abo;4-15 EUR/Sensor/Monat [A];HACCP-Dokupflicht EU-VO 852/2004 plus Warenverlust;70-85%;hoch;gruen;SHORTLIST S08;Zahler ist nicht Nutzer loest Kriterium 5
L09;PV-Betriebsfuehrung O&M 100-750 kWp;A01-M38/A10-M19;DE;diverse O&M-Dienstleister;Gewerbedach-Betreiber Portfoliohalter;Jahresgebuehr je kWp;8-15 EUR/kWp/Jahr [F];Ertragsausfall unbemerkt Banken verlangen O&M;60-75%;hoch;gruen;SHORTLIST S09;20-30 Jahre Laufzeit banken-erzwungen
L10;Compliance-/Foerder-SaaS fuer WP-/PV-/Wallbox-Installateure;A02-M7;UK;Payaca (54 GBP + 30 GBP/Nutzer);Installationsbetriebe erneuerbare Energien;SaaS + Nutzer;offen;BEG/BAFA/KfW/GEG/VDE-Stack ist komplexer als in UK;70-85%;hoch;gruen;SHORTLIST S10;deutsche Handwerkersoftware ist generalistisch
L11;NIS2-/vCISO-Plattform fuer Dienstleister;A02-M13;IL;Cynomi (37 Mio USD Series B);IT-Dienstleister/MSPs;Plattformgebuehr je Endkunde des Partners;offen;NIS2-Umsetzungspflicht greift jetzt kein Personal im Mittelstand;75-85%;sehr hoch;gelb;SHORTLIST S11;bester Delegationshebel Support beim Partner
L12;Bauprojekt- und Ausschreibungsdaten mit KI-Erhebung;A01-M34;DE;ibau B_I greenprofi (recherchieren manuell);Bauzulieferer Handwerk Planer;Datenabo;offen;Platzhirsche erheben manuell aus oeffentlichen Quellen;65-80%;sehr hoch;gruen;SHORTLIST S12;Flanke existierte vor LLMs nicht
L13;Vertikaler Voice-Agent mit Tiefenintegration;A01-M35/A03-FeldA;DE;fonio Vokaro HalloPetra FoxifAI;eine Vertikale mit Tiefenintegration;Setup + Monatslizenz + Minuten;Setup 1.920 EUR + ab 100 EUR/Monat [F-sek];Anrufe gehen verloren Personal fehlt;60-80%;hoch;gelb;SHORTLIST S13;Arbeitshypothese A fair geprueft
L14;White-Label-Voice-Motor fuer deutsche Telefonservices;A03-Chance2;DE;keiner (Synthflow US-orientiert);40+ deutsche Telefonservice-Anbieter;Lizenz je Partner + Minuten;Arbitrage 0,49-1,70 EUR vs 0,10-0,12 EUR;menschliches Kostenmodell gegen KI-Kosten;70-85%;hoch;gelb;SHORTLIST S14;reicht als Maschine A allein nicht
L15;Franchise-/Lizenzsystem fuer Pruefdienstleistungen;A10-M22;DE;keiner in dieser Nische;Pruefbetriebe als Franchisenehmer;Eintritt + Umsatzanteil + Software + Einkauf;offen;guter Pruefer schlechter Verkaeufer;80-90%;sehr hoch;gelb;SHORTLIST S15;Zentrale erbringt keine Leistung Stufe-2-Modell
L16;Micro-ETA-Hybrid Kleinstbetrieb kaufen;A10-Szenario C;DE;nexxt-change (~1.000 Vermittlungen/Jahr);Nachfolgebetriebe 300-600 TEUR Umsatz;Kauf statt Aufbau;Kaufpreis 100-250 TEUR [S] Multiple 4,1-5,7x;Kundenliste und Qualifikation sind teuerster Teil des Aufbaus;n/a;n/a;gruen;SHORTLIST S16;Markteintrittsstrategie kein eigenes Modell
L17;DGUV-V3-Elektropruefung als Flatrate-Pruefvertrag;A01-M01/A10-M2;DE;GWI ama-systems Bertsch Pruefinstitut;Betriebe mit vielen ortsveraenderlichen Geraeten;Monatspauschale statt Einzelauftrag;3-8 EUR/Geraet [F] 50-150 EUR/Anlage [F];Pruefung alle 6-24 Monate Inventar unbekannt;45-60%;mittel;gelb;LONGLIST;Ausfuehrung selbst = Marge zu niedrig Elektrofachkraft noetig
L18;Buendel-Sicherheitspruefung Lager (Regal Leiter Tore Anschlagmittel);A01-M02/A10-M3;DE;diverse regionale Pruefer;Logistik Produktion Handel;Jahrespauschale Buendel;offen;vier Firmen vier Termine vier Rechnungen;50-65%;mittel;gelb;LONGLIST;als Einzelmodell zu klein aufgegangen in L01
L19;Kranpruefung und Hebezeug-Sachverstaendigenpruefung;A01-M03;DE;diverse ZUES-nahe Anbieter;Industrie Bau;Einzelpruefung;offen;Pruefpflicht;45-60%;niedrig;rot;AUSGESCHLOSSEN;KO-3 Sachverstaendigen-Engpass personengebunden
L20;Externe Fachkraft fuer Arbeitssicherheit plus Betriebsarzt im Abo;A01-M04/A10-M13;DE;123ingenieure u.a.;KMU mit Betreuungspflicht ASiG/DGUV V2;Monatsabo;ab 29,99 EUR/Monat [F];gesetzliche Betreuungspflicht;55-70%;mittel;gelb;LONGLIST;Preiskampf sichtbar Sifa-Qualifikation noetig
L21;Legionellen-/Trinkwasserpruefung fuer Wohnungswirtschaft;A01-M05/A10-M6;DE;aqua-diagnostik HMS-tec new-energie;Wohnungsunternehmen Hausverwaltungen;Analyse + Verwaltungsabo;Gefaehrdungsanalyse ab 390/890/3.350 EUR [F];TrinkwV-Pflicht Probenahme-Logistik;50-70%;mittel;gelb;LONGLIST;Labor akkreditierungspflichtig nur Koordination frei
L22;Brandschutz-Rundum-Abo (Feuerloescher RWA Brandschutztueren);A01-M06/A10-M5;DE;diverse regionale Brandschutzdienstleister;Gewerbeimmobilien Betriebe;Festpreis je Loescher/Monat;offen;Ueberraschungsrechnung wenn Loeschmittel faellig;55-70%;mittel;gelb;LONGLIST;RWA nur mit VdS-Partner aufgegangen in L01
L23;Abscheiderwartung (Fett Oel Leichtfluessigkeit);A01-M07;DE;diverse Entsorger;Gastronomie Werkstaetten Tankstellen;Wartungsvertrag;offen;DIN EN 1825 Pflichtturnus;45-60%;mittel;gelb;LONGLIST;Route-Geschaeft Marge zu niedrig
L24;F-Gase-Dichtheitspruefung und Kaelteanlagen-Wartungsvertrag;A01-M08/A10-M7;DE;Huelsmann Inowest Wysluch;Betreiber Kaelte-/Klimaanlagen;Wartungsvertrag je Anlage;200-600 EUR/Anlage/Jahr [F];F-Gase-VO 2024/573 Takt 3/6/12 Monate;45-60%;niedrig;rot;AUSGESCHLOSSEN;KO-3 Zertifizierungspflicht als Kern
L25;Lueftungshygiene VDI 6022;A01-M09;DE;diverse Hygienedienstleister;Betreiber RLT-Anlagen;Pruefung + Reinigung;offen;VDI 6022 Hygieneinspektion;50-65%;mittel;gelb;LONGLIST;Ausfuehrung personalintensiv
L26;Digitales Schaedlingsmonitoring 24/7;A01-M12;SE/DE;Anticimex SMART;Lebensmittelproduktion Handel Logistik;Servicevertrag Geraete + Monitoring;nicht oeffentlich;IFS/BRC-Audits verlangen kontinuierliches Monitoring;65-80%;hoch;gelb;LONGLIST;Anticimex ist Konzern Frontalangriff aussichtslos Weiss-Label-Variante interessant
L27;Retrofit-Zustandsueberwachung fuer Bestandsmaschinen;A01-M13;DE;diverse Predictive-Maintenance-Anbieter;Produktionsbetriebe;Sensorik-Abo;offen;ungeplanter Stillstand;60-80%;hoch;gruen;LONGLIST;Friedhofsrisiko Industrie 4.0 2016-2022 ungeklaert
L28;Fuellstands- und Silotelemetrie;A01-M14/A02-M24;DE/CA;Otodata;Lieferanten und Abnehmer von Schuettgut/Gas;Sensor-Abo B2B2B;1,50 USD EK vs 26-54 USD VK [F-sek];Leerstand und Leerfahrten;65-80%;hoch;gruen;LONGLIST;aufgegangen in L08 gleiche Mechanik
L29;Baustellenueberwachung als Mietsystem mit Leitstelle;A01-M15/A02-M19;US/DE;LiveView Technologies;Bautraeger Generalunternehmer;Miete je Einheit/Monat;1.200-3.400 USD/Einheit/Monat [F-sek];Diebstahl und Vandalismus;60-75%;hoch;gelb;LONGLIST;kapitalintensiv 1,4 Mio EUR Assets fuer 100k verstoesst gegen A1
L30;Handwerker-ERP als SaaS;A01-M17;DE;ToolTime plancraft Craftnote;Handwerksbetriebe;SaaS je Nutzer;79-249,90 EUR/Betrieb [F];Zettelwirtschaft;70-85%;hoch;gruen;AUSGESCHLOSSEN;Kriterium 5 verletzt 500-1.900 Kunden noetig plancraft 50 Mio EUR
L31;Baustellen-Zeiterfassung als Standalone-SaaS;A01-M18;DE;diverse;Bau und Handwerk;SaaS je Nutzer;5-15 EUR/Nutzer [F];Arbeitszeiterfassungspflicht;75-85%;hoch;gruen;AUSGESCHLOSSEN;ARPU zu niedrig Kriterium 5
L32;Branchensoftware fuer Entsorger und Containerdienste;A01-M19;DE;diverse Legacy-Anbieter;Entsorgungsbetriebe;SaaS/Lizenz;nicht oeffentlich;veraltete Software Preisintransparenz;70-85%;hoch;gruen;LONGLIST;Preisintransparenz als positives Signal ungeprueft
L33;Agrar-SaaS Ackerschlagkartei und Nachweisfuehrung;A01-M20;DE;diverse;Landwirte Lohnunternehmer;SaaS;offen;Duengeverordnung Nachweispflicht;70-85%;hoch;gelb;LONGLIST;ARPU niedrig saisonal
